"pr_lost";"pr_rem";"ave_pr_rem";"amphibians";"birds";"mammals";"reptiles";"LC";"NT";"VU";"EN";"CR";"endangered"
0;100;72.3425899745527;70.1832083000798;74.5605380720739;75.4031689480593;64.1977640959171;76.0492922953665;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.017;99.983;72.3425818960294;70.1832083000798;74.5605281445448;75.4031501968873;64.1977640959171;76.0492789424489;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.018;99.982;72.3425818960294;70.1832083000798;74.5605281445448;75.4031501968873;64.1977640959171;76.0492789424489;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.019;99.981;72.3425697782445;70.1832083000798;74.5605281445448;75.4030939433715;64.1977640959171;76.0492589130725;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.021;99.979;72.3425697782445;70.1832083000798;74.5605281445448;75.4030939433715;64.1977640959171;76.0492589130725;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.025;99.975;72.3425657389829;70.1832083000798;74.5605281445448;75.4030751921995;64.1977640959171;76.0492522366137;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.029;99.971;72.3425495819364;70.1832083000798;74.5605182170158;75.4030189386837;64.1977640959171;76.0492255307785;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.033;99.967;72.3425455426748;70.1832083000798;74.5605182170158;75.4030001875117;64.1977640959171;76.0492188543197;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.036;99.964;72.3425455426748;70.1832083000798;74.5605182170158;75.4030001875117;64.1977640959171;76.0492188543197;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.041;99.959;72.3425253463667;70.1832083000798;74.5605082894867;75.4029251828239;64.1977640959171;76.0491854720256;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.045;99.955;72.3425213071051;70.1832083000798;74.5605082894867;75.402906431652;64.1977640959171;76.0491787955668;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.05;99.95;72.3425011107969;70.1832083000798;74.5604983619577;75.4028314269642;64.1977640959171;76.0491454132728;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.055;99.945;72.3424889930121;70.1832083000798;74.5604983619577;75.4027751734483;64.1977640959171;76.0491253838964;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.059;99.941;72.3424768752272;70.1832083000798;74.5604785068996;75.4027564222764;64.1977640959171;76.04910535452;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.063;99.937;72.3424607181807;70.1832083000798;74.5604685793706;75.4027001687605;64.1977640959171;76.0490786486847;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.068;99.932;72.3424445611342;70.1832083000798;74.5604586518416;75.4026439152447;64.1977640959171;76.0490519428495;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.072;99.928;72.342436482611;70.1832083000798;74.5604586518416;75.4026064129008;64.1977640959171;76.0490385899319;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.078;99.922;72.3424203255645;70.1832083000798;74.5604487243125;75.402550159385;64.1977640959171;76.0490118840967;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
