"pr_lost";"pr_rem";"ave_pr_rem";"amphibians";"birds";"mammals";"reptiles";"LC";"NT";"VU";"EN";"CR";"endangered"
0;100;82.2408207779618;82.9032242617718;83.5671200238261;84.2615038439903;73.0748865845755;85.3018093203365;82.2433538979248;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.038;99.962;82.2405945793109;82.9032242617718;83.5669413283034;84.2607912994562;73.0748865845755;85.3014688209374;82.243073471677;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.073;99.927;82.239972533021;82.9032242617718;83.5666435024322;84.2584661541346;73.0748865845755;85.3004539991988;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.106;99.894;82.2393424082078;82.9032242617718;83.5663655316192;84.2560660041253;73.0748865845755;85.299412471625;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.139;99.861;82.2387365189643;82.9032242617718;83.5661074158642;84.2537408588037;73.0748865845755;85.2984110028041;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.173;99.827;82.2381023548895;82.9032242617718;83.5658294450511;84.2513219576224;73.0748865845755;85.2973627987715;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.201;99.799;82.2376176434948;82.9032242617718;83.5656209669413;84.2494655915995;73.0748865845755;85.2965616237148;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.204;99.796;82.2376136042331;82.9032242617718;83.5656209669413;84.2494468404275;73.0748865845755;85.296554947256;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.21;99.79;82.2376136042331;82.9032242617718;83.5656209669413;84.2494468404275;73.0748865845755;85.296554947256;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.218;99.782;82.2375449367856;82.9032242617718;83.5655911843542;84.2491843240202;73.0748865845755;85.2964414474563;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.224;99.776;82.2375449367856;82.9032242617718;83.5655911843542;84.2491843240202;73.0748865845755;85.2964414474563;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.228;99.772;82.2375449367856;82.9032242617718;83.5655911843542;84.2491843240202;73.0748865845755;85.2964414474563;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.233;99.767;82.2375449367856;82.9032242617718;83.5655911843542;84.2491843240202;73.0748865845755;85.2964414474563;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.237;99.763;82.2375449367856;82.9032242617718;83.5655911843542;84.2491843240202;73.0748865845755;85.2964414474563;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.242;99.758;82.2375449367856;82.9032242617718;83.5655911843542;84.2491843240202;73.0748865845755;85.2964414474563;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.247;99.753;82.2375449367856;82.9032242617718;83.5655911843542;84.2491843240202;73.0748865845755;85.2964414474563;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.256;99.744;82.237476269338;82.9032242617718;83.5655614017671;84.248921807613;73.0748865845755;85.2963279476566;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.262;99.738;82.237476269338;82.9032242617718;83.5655614017671;84.248921807613;73.0748865845755;85.2963279476566;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.268;99.732;82.237476269338;82.9032242617718;83.5655614017671;84.248921807613;73.0748865845755;85.2963279476566;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.275;99.725;82.237476269338;82.9032242617718;83.5655614017671;84.248921807613;73.0748865845755;85.2963279476566;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.282;99.718;82.237476269338;82.9032242617718;83.5655614017671;84.248921807613;73.0748865845755;85.2963279476566;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.293;99.707;82.2374035626288;82.9032242617718;83.56553161918;84.2486405400337;73.0748865845755;85.296207771398;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.301;99.699;82.2374035626288;82.9032242617718;83.56553161918;84.2486405400337;73.0748865845755;85.296207771398;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.31;99.69;82.2374035626288;82.9032242617718;83.56553161918;84.2486405400337;73.0748865845755;85.296207771398;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.32;99.68;82.2373833663206;82.9032242617718;83.5655216916509;84.248565535346;73.0748865845755;85.296174389104;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.331;99.669;82.2373227773963;82.9032242617718;83.5654919090638;84.2483405212826;73.0748865845755;85.2960742422219;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.339;99.661;82.2373227773963;82.9032242617718;83.5654919090638;84.2483405212826;73.0748865845755;85.2960742422219;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.347;99.653;82.2373227773963;82.9032242617718;83.5654919090638;84.2483405212826;73.0748865845755;85.2960742422219;82.2429613011778;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
