"pr_lost";"pr_rem";"ave_pr_rem";"amphibians";"birds";"mammals";"reptiles";"LC";"NT";"VU";"EN";"CR";"endangered"
0;100;82.2408207779618;82.9032242617718;83.5671200238261;84.2615038439903;73.0748865845755;85.3018093203365;82.2433538979248;80.1984225621415;79.2867516629712;67.7401622718053;77.3453912331012
0.103;99.897;82.2365351213798;82.9016759776536;83.561352129455;84.2557097318582;73.0724886584575;85.2956402723995;82.2415030846887;80.1973231357553;79.2861973392461;67.7398580121704;77.3446538303974
0.181;99.819;82.2301975198934;82.8988028731045;83.5527648168371;84.2476279767485;73.0694750486066;85.2862732006944;82.2390353337072;80.1956978967495;79.2852549889135;67.7384381338742;77.3433224088488
0.243;99.757;82.223912428808;82.8957541899441;83.5443561997419;84.2401837614851;73.0655541153597;85.2773133929764;82.2352215367358;80.1937858508604;79.2834257206208;67.7380324543611;77.341745186399
0.304;99.696;82.2173526679323;82.8926097366321;83.5359475826467;84.2315394712169;73.0616979909268;85.2677393510482;82.2311833987661;80.1923518164436;79.2819290465632;67.7375253549696;77.3404752150758
0.363;99.637;82.2102152926445;82.8885714285714;83.5267050531123;84.2226139133696;73.0582307193778;85.2576912805448;82.2265844083006;80.1894359464627;79.2805432372506;67.7362068965517;77.3384473576403
0.425;99.575;82.2019226885325;82.8829209896249;83.5163010026804;84.2133508344271;73.0531432274789;85.2462678595273;82.2214245653393;80.1853728489484;79.2754988913526;67.7351926977688;77.3346374436706
0.483;99.517;82.193840126025;82.879201915403;83.5053906482676;84.2037877367335;73.047990926766;85.234837762051;82.2158160403814;80.1826003824092;79.2723946784922;67.734584178499;77.3321794346579
0.539;99.461;82.1857979561336;82.8762649640862;83.4946490618485;84.1933433339584;73.0425469863901;85.2228935772466;82.2125070106562;80.1797323135755;79.2710643015521;67.7343813387424;77.3304178615322
0.597;99.403;82.1764713010462;82.8718754988029;83.4826466792415;84.181155072192;73.0368762151653;85.2093003071171;82.2079641054403;80.176673040153;79.2697893569845;67.7340770791075;77.3285743547726
0.651;99.349;82.1693581613281;82.8694014365523;83.4726099473841;84.172098256141;73.0332469215813;85.1989718253438;82.203196859226;80.1741873804971;79.2688470066519;67.7338742393509;77.3271200327735
0.707;99.293;82.1597527971887;82.8653471667997;83.460041695622;84.1589536846053;73.0281594296824;85.1850313793564;82.1975322490185;80.1705066921606;79.2675166297117;67.7336713995943;77.3250102417042
0.761;99.239;82.1506846548451;82.8622346368715;83.4476620669115;84.1471779486218;73.0224886584575;85.1718053144612;82.1920358945597;80.1673040152964;79.2660753880266;67.7322515212982;77.3228185170012
0.814;99.186;82.1427192309246;82.8594892258579;83.436801350144;84.1367522970186;73.0176279974076;85.1603418346909;82.186539540101;80.1640057361377;79.2644678492239;67.7313387423935;77.3206267922982
0.868;99.132;82.1333844973139;82.8559138068635;83.4238955623945;84.1249203075192;73.0125729099157;85.1463279476566;82.1817722938867;80.1613288718929;79.2632483370288;67.7310344827586;77.3189676362147
0.92;99.08;82.1243527083249;82.8520670391061;83.4118733247295;84.1136133508344;73.0067077122489;85.1332354119375;82.1768367919237;80.1578393881453;79.2614745011087;67.730121703854;77.3166325276526
0.972;99.028;82.115009896191;82.8485714285714;83.398957609451;84.1012750796925;73.0023331173039;85.1197155828549;82.1712843522154;80.1541586998088;79.2584257206208;67.7298174442191;77.3138672675133
1.026;98.974;82.1045764834188;82.8434796488428;83.3855554452497;84.0885805362835;72.9946532728451;85.1043530511417;82.1648906337633;80.1508126195029;79.2570953436807;67.7294117647059;77.3118598934863
1.077;98.923;82.0961667407198;82.8403511572227;83.3737913233396;84.0786049128071;72.9891769280622;85.0921351315262;82.1593942793045;80.1466539196941;79.2563747228381;67.7292089249493;77.3097705858255
1.125;98.875;82.0891545825423;82.8373982442139;83.3641814752308;84.0698856178511;72.9853532080363;85.0819468553879;82.1549635445878;80.1438814531549;79.2557649667406;67.729107505071;77.3083367472347
1.179;98.821;82.0779294744921;82.8323543495611;83.3488533703961;84.0560660041253;72.9794556059624;85.0653558552544;82.148794167134;80.1402007648184;79.2536585365854;67.7289046653144;77.3059401884474
1.229;98.771;82.0699115401705;82.8293535514765;83.3386081604289;84.0457716107257;72.9724562540506;85.0531913473094;82.1457094784072;80.1377151051625;79.2530487804878;67.7283975659229;77.3045473166735
1.278;98.722;82.0609080260128;82.825538707103;83.3263377345379;84.0351959497469;72.9662994167207;85.0398918413673;82.1407739764442;80.1339388145315;79.2519401330377;67.72738336714;77.3023146251536
1.329;98.671;82.0510077957749;82.8216600159617;83.3131738310335;84.0229139321208;72.9589436163318;85.0256309253572;82.133202467751;80.1299235181644;79.2506651884701;67.7269776876268;77.3000409668169
1.378;98.622;82.0405743830028;82.8164724660814;83.2993150004964;84.0106881680105;72.952138690862;85.0101148350915;82.1269770050477;80.1269120458891;79.2490022172949;67.7266734279919;77.2980745596067
1.424;98.576;82.0335904996567;82.8131843575419;83.2904199344783;84.0012000750047;72.948217757615;84.9999465883295;82.1227145260796;80.1246653919694;79.2483370288248;67.726369168357;77.2968045882835
1.471;98.529;82.0254271519166;82.8102793296089;83.2794797974784;83.9908306769173;72.9422553467272;84.9879156095607;82.1190128996074;80.1212715105163;79.2469512195122;67.7260649087221;77.294776730848
1.522;98.478;82.0144080462092;82.8052035115722;83.2646282140375;83.9777236077255;72.9352883992223;84.9721725196955;82.1102075154234;80.1156787762906;79.2455099778271;67.7257606490872;77.2917861532159
1.571;98.429;82.0067415276487;82.8024421388667;83.2546411198253;83.9669229326833;72.9306545690214;84.9607223928428;82.1068424004487;80.1130975143403;79.2438470066519;67.7256592292089;77.2900450634986
1.621;98.379;81.9962838793069;82.7969672785315;83.2410900426884;83.9542658916182;72.9239792611795;84.9454199492589;82.1003925967471;80.1096080305927;79.2420177383592;67.7251521298174;77.2877714051618
1.668;98.332;81.9880559033809;82.7935355147646;83.2303583837983;83.943483967748;72.9186001296176;84.933355588196;82.09467190129;80.1066921606119;79.2409090909091;67.7248478701826;77.2860507988529
1.716;98.284;81.9767702064063;82.7871987230646;83.2155465104735;83.9306769173073;72.9114063512638;84.9168914407798;82.0863712843522;80.1028680688337;79.2385254988913;67.7243407707911;77.2834289225727
1.76;98.24;81.9696691844731;82.784485235435;83.2065025315199;83.9216388524283;72.9050874918989;84.9061423421017;82.0828939988783;80.1009560229445;79.2376385809313;67.7243407707911;77.2822818517001
1.805;98.195;81.9599547602698;82.7788507581804;83.1941129752804;83.9100131258204;72.899125081011;84.8921885431967;82.0769489624229;80.0969885277247;79.2352549889135;67.7241379310345;77.2796599754199
1.85;98.15;81.9516863917276;82.7752913008779;83.1833118236871;83.8995499718732;72.8933570965651;84.8798704766992;82.0724060572069;80.0946462715105;79.2339246119734;67.7238336713996;77.2781032363785
1.9;98.1;81.9420325564487;82.7708220271349;83.1703861808796;83.8873992124508;72.8881723914452;84.8660702363466;82.0655075715087;80.091395793499;79.2313747228381;67.7229208924949;77.2755837771405
1.951;98.049;81.9315668295836;82.7661133280128;83.156388364936;83.875379711232;72.8802333117304;84.8509480571505;82.0578238923163;80.0873326959847;79.2303215077605;67.7228194726166;77.2734330192544
2.004;97.996;81.9220866825544;82.7622984836393;83.1437506204706;83.8630789424339;72.8744329228775;84.8367472292696;82.0535053280987;80.0844168260038;79.2281596452328;67.7225152129817;77.2713232281852
2.054;97.946;81.9120248818516;82.7574301675978;83.1299414275787;83.8506469154322;72.8701555411536;84.8222192549072;82.0455412226584;80.0809751434034;79.2268292682927;67.7221095334686;77.2692748873413
2.106;97.894;81.9025124207295;82.7535514764565;83.1175717263973;83.8394712169511;72.8614063512638;84.8085992789425;82.038530566461;80.0763384321224;79.22544345898;67.7211967545639;77.2665915608357
2.157;97.843;81.8922082643293;82.7492897047087;83.1033753598729;83.8271141946372;72.8550874918989;84.793210041394;82.0328098710039;80.0730401529637;79.2236696230599;67.7209939148073;77.2644817697665
2.21;97.79;81.8830149048754;82.7453631284916;83.0913233396208;83.8154134633415;72.848865845755;84.7795166243824;82.0284913067863;80.0705544933078;79.2221729490022;67.7182555780933;77.2623105284719
2.266;97.734;81.871159672012;82.7391380686353;83.0768589298124;83.8010500656291;72.8384316267012;84.7626185071438;82.0195176668536;80.0647705544933;79.2199002217295;67.7175456389452;77.2588488324457
