"pr_lost";"pr_rem";"ave_pr";"amphibians";"birds";"mammals";"reptiles";"LC";"NT";"VU";"EN";"CR"
0;1;0.749321484832573;0.725121628092578;0.763286607763328;0.763625539096193;0.728147764095917;0.768408532514354;0.745970274817723;0.739586998087954;0.707013858093126;0.649479716024341
9e-05;0.99991;0.749321363654724;0.725121628092578;0.763286309937457;0.763625539096193;0.728147764095917;0.768408465749766;0.745969153112731;0.739586998087954;0.707013858093126;0.649479716024341
0.00014;0.99986;0.749321323262108;0.725121628092578;0.763286210662166;0.763625539096193;0.728147764095917;0.768408398985178;0.745969153112731;0.739586998087954;0.707013858093126;0.649479716024341
0.00018;0.99982;0.749321202084259;0.725121628092578;0.763285912836295;0.763625539096193;0.728147764095917;0.76840833222059;0.74596803140774;0.739586998087954;0.707013858093126;0.649479716024341
2e-04;0.9998;0.749321202084259;0.725121628092578;0.763285912836295;0.763625539096193;0.728147764095917;0.76840833222059;0.74596803140774;0.739586998087954;0.707013858093126;0.649479716024341
0.00023;0.99977;0.749321202084259;0.725121628092578;0.763285912836295;0.763625539096193;0.728147764095917;0.76840833222059;0.74596803140774;0.739586998087954;0.707013858093126;0.649479716024341
0.00025;0.99975;0.749321202084259;0.725121628092578;0.763285912836295;0.763625539096193;0.728147764095917;0.76840833222059;0.74596803140774;0.739586998087954;0.707013858093126;0.649479716024341
0.00028;0.99972;0.749321202084259;0.725121628092578;0.763285912836295;0.763625539096193;0.728147764095917;0.76840833222059;0.74596803140774;0.739586998087954;0.707013858093126;0.649479716024341
3e-04;0.9997;0.749321202084259;0.725121628092578;0.763285912836295;0.763625539096193;0.728147764095917;0.76840833222059;0.74596803140774;0.739586998087954;0.707013858093126;0.649479716024341
0.00032;0.99968;0.749321161691643;0.725121628092578;0.763285813561005;0.763625539096193;0.728147764095917;0.76840833222059;0.745967470555244;0.739586998087954;0.707013858093126;0.649479716024341
0.00035;0.99965;0.749321121299027;0.725121628092578;0.763285714285714;0.763625539096193;0.728147764095917;0.76840833222059;0.745966909702748;0.739586998087954;0.707013858093126;0.649479716024341
0.00038;0.99962;0.749321121299027;0.725121628092578;0.763285714285714;0.763625539096193;0.728147764095917;0.76840833222059;0.745966909702748;0.739586998087954;0.707013858093126;0.649479716024341
4e-04;0.9996;0.749321121299027;0.725121628092578;0.763285714285714;0.763625539096193;0.728147764095917;0.76840833222059;0.745966909702748;0.739586998087954;0.707013858093126;0.649479716024341
0.00043;0.99957;0.749321121299027;0.725121628092578;0.763285714285714;0.763625539096193;0.728147764095917;0.76840833222059;0.745966909702748;0.739586998087954;0.707013858093126;0.649479716024341
0.00046;0.99954;0.749321121299027;0.725121628092578;0.763285714285714;0.763625539096193;0.728147764095917;0.76840833222059;0.745966909702748;0.739586998087954;0.707013858093126;0.649479716024341
0.00049;0.99951;0.749321121299027;0.725121628092578;0.763285714285714;0.763625539096193;0.728147764095917;0.76840833222059;0.745966909702748;0.739586998087954;0.707013858093126;0.649479716024341
0.00053;0.99947;0.74932108090641;0.725121628092578;0.763285615010424;0.763625539096193;0.728147764095917;0.76840833222059;0.745966348850252;0.739586998087954;0.707013858093126;0.649479716024341
0.00056;0.99944;0.74932108090641;0.725121628092578;0.763285615010424;0.763625539096193;0.728147764095917;0.76840833222059;0.745966348850252;0.739586998087954;0.707013858093126;0.649479716024341
6e-04;0.9994;0.749321040513794;0.725121628092578;0.763285515735133;0.763625539096193;0.728147764095917;0.768408265456002;0.745966348850252;0.739586998087954;0.707013858093126;0.649479716024341
0.00064;0.99936;0.749321000121178;0.725121628092578;0.763285416459843;0.763625539096193;0.728147764095917;0.768408198691414;0.745966348850252;0.739586998087954;0.707013858093126;0.649479716024341
0.00069;0.99931;0.749320959728562;0.725121628092578;0.763285317184553;0.763625539096193;0.728147764095917;0.768408198691414;0.745965787997757;0.739586998087954;0.707013858093126;0.649479716024341
0.00073;0.99927;0.749320959728562;0.725121628092578;0.763285317184553;0.763625539096193;0.728147764095917;0.768408198691414;0.745965787997757;0.739586998087954;0.707013858093126;0.649479716024341
0.00078;0.99922;0.749320959728562;0.725121628092578;0.763285317184553;0.763625539096193;0.728147764095917;0.768408198691414;0.745965787997757;0.739586998087954;0.707013858093126;0.649479716024341
0.00082;0.99918;0.749320959728562;0.725121628092578;0.763285317184553;0.763625539096193;0.728147764095917;0.768408198691414;0.745965787997757;0.739586998087954;0.707013858093126;0.649479716024341
0.00087;0.99913;0.749320959728562;0.725121628092578;0.763285317184553;0.763625539096193;0.728147764095917;0.768408198691414;0.745965787997757;0.739586998087954;0.707013858093126;0.649479716024341
0.00092;0.99908;0.749320959728562;0.725121628092578;0.763285317184553;0.763625539096193;0.728147764095917;0.768408198691414;0.745965787997757;0.739586998087954;0.707013858093126;0.649479716024341
0.00097;0.99903;0.749320959728562;0.725121628092578;0.763285317184553;0.763625539096193;0.728147764095917;0.768408198691414;0.745965787997757;0.739586998087954;0.707013858093126;0.649479716024341
0.00103;0.99897;0.749320919335945;0.725121628092578;0.763285217909262;0.763625539096193;0.728147764095917;0.768408131926826;0.745965787997757;0.739586998087954;0.707013858093126;0.649479716024341
0.00109;0.99891;0.749320919335945;0.725121628092578;0.763285217909262;0.763625539096193;0.728147764095917;0.768408131926826;0.745965787997757;0.739586998087954;0.707013858093126;0.649479716024341
0.00115;0.99885;0.749320878943329;0.725121628092578;0.763285118633972;0.763625539096193;0.728147764095917;0.768408065162238;0.745965787997757;0.739586998087954;0.707013858093126;0.649479716024341
